Place,Neighborhood,Rating,Booze
Andrea's House of Pizza,Watertown,7,No
Big Daddy's,Allston,8,No
Brighton House of Pizza,Brighton,7,No
Cathedral Station,South End,8,Yes
Chicken and Rice Guys,Watertown,9,No
Daedalus,Cambridge,6,Yes
Deep Ellum,Allston,7,No
Fast Eddie's Pizza,Brighton,8,No
Gyro City,Fenway/Kenmore,3,No
Ixtapa Cantina,Watertown,9,No
John Harvard's,Cambridge,6,Yes
Joyful Garden,Allston,5,No
Kiki's,Brighton,8,No
Kitchen,South End,8,Yes
La Casa de Pedro's,Watertown,8,No
Lone Star,Allston,10,Yes
Massis Bakery,Watertown,9,No
NY Fried Chicken & Pizza,Brighton,2,No
Porter Belly's Pub,Brighton,8,Yes
Ronan's Deli,Brighton,6,No
Shan-A-Punjab,Brighton,8,No
South Street Diner,Leather District,10,No
Stella's Pizza,Watertown,6,No
Stellina,Watertown,6,No
Strip-T's Restaurant,Watertown,7,No
The Proper Slice,Brighton,6,No
The Publick House,Brookline,8,Yes
Tremont 647,South End,8,Yes
Uncommon Grounds,Watertown,7,No
Watertown Diner,Watertown,8,No
